N,size,SHG_r95_Nstar,SHG_r99_Nstar,CSPG_r95_Nstar,CSPG_r99_Nstar,HNSW32_r95_Nstar,HNSW32_r99_Nstar,HNSW48_r95_Nstar,HNSW48_r99_Nstar
100000,100k,41262,11908,44891,13204,26114,7801,32861,9715
200000,200k,81008,30880,85692,32657,59406,23152,67515,26065
500000,500k,174907,93950,202117,109385,140793,75907,159860,86088
1000000,1m,219464,131932,281162,171009,196834,118879,209513,125850
2000000,2m,250502,148920,330293,197766,230824,137086,243179,144351
5000000,5m,161704,151825,219002,207046,150233,140714,157064,146990
10000000,10m,77519,71097,105909,97261,72854,66731,75227,68930
20000000,20m,79329,86028,110050,119436,74583,80811,77248,83712
50000000,50m,84347,86068,119779,122323,79906,81519,82489,84147
100000000,100m,90190,88124,124805,121977,83252,81333,86772,84765
