Dataset,Index,mean@0.90,med@0.90,mean@0.95,med@0.95,mean@0.99,med@0.99
SIFT1M,SuCo,1.0016,—,1.0007,—,1.0001,—
SIFT1M,SHG,1.0016,—,1.001,—,1.0001,—
SIFT1M,CSPG,1.0024,—,1.0007,—,1.0001,—
SIFT1M,HNSW32,1.0019,—,1.0009,—,1.0001,—
SIFT1M,HNSW48,1.0015,—,1.0009,—,1.0001,—
SIFT10M,SuCo,1.0042,—,1.0017,—,1.0001,—
SIFT10M,SHG,1.0033,—,1.001,—,1.0002,—
SIFT10M,CSPG,1.0026,—,1.0008,—,1.0002,—
SIFT10M,HNSW32,1.0034,—,1.0012,—,1.0002,—
SIFT10M,HNSW48,1.0032,—,1.0011,—,1.0002,—
GIST1M,SuCo,0.9997,—,0.9997,—,0.9992,—
GIST1M,SHG,1.001,—,1,—,0.9995,—
GIST1M,CSPG,1.0004,—,0.9998,—,0.9994,—
GIST1M,HNSW32,1.0008,—,0.9999,—,0.9993,—
GIST1M,HNSW48,1.0005,—,1,—,0.9995,—
DEEP1M,SuCo,1.0013,—,1.0004,—,0.9999,—
DEEP1M,SHG,1.0015,—,1.0008,—,1,—
DEEP1M,CSPG,1.0022,—,1.0006,—,0.9999,—
DEEP1M,HNSW32,1.0019,—,1.0009,—,1,—
DEEP1M,HNSW48,1.0015,—,1.0008,—,1,—
DEEP10M,SuCo,1.002,1,1.0005,1,1.0001,1
DEEP10M,SHG,1.0023,1.0005,1.0009,1,1.0002,1
DEEP10M,CSPG,1.0017,1,1.0011,1,1.0002,1
DEEP10M,HNSW32,1.0024,1.0003,1.0012,1,1.0002,1
DEEP10M,HNSW48,1.0022,1.0005,1.0012,1,1.0002,1
SPACEV10M,SuCo,1.0033,1,1.0023,1,1.0003,1
SPACEV10M,SHG,1.0115,1,1.0036,1,1.0006,1
SPACEV10M,CSPG,1.0092,1,1.0051,1,1.0012,1
SPACEV10M,HNSW32,1.0131,1,1.0066,1,—,—
SPACEV10M,HNSW48,1.0095,1,1.0037,1,1.0008,1
MSong,SuCo,1.0018,—,1.0018,—,1.0003,—
MSong,SHG,1.0015,—,1.0009,—,1.0002,—
MSong,CSPG,1.0015,—,1.0011,—,1.0002,—
MSong,HNSW32,1.0021,—,1.0006,—,1.0001,—
MSong,HNSW48,1.0017,—,1.001,—,1.0001,—
Enron,SHG,1.0014,—,1.0009,—,1.0002,—
Enron,CSPG,1.0062,—,1.0024,—,1.0013,—
Enron,HNSW32,1.0042,—,1.0026,—,1.0007,—
Enron,HNSW48,1.0016,—,1.001,—,1.0003,—
OpenAI1M,SuCo,1.0034,—,1.0009,—,1.0001,—
OpenAI1M,SHG,1.0035,—,1.0012,—,1.0002,—
OpenAI1M,CSPG,1.0022,—,1.001,—,1.0003,—
OpenAI1M,HNSW32,1.0029,—,1.0013,—,1.0002,—
OpenAI1M,HNSW48,1.0024,—,1.0011,—,1.0002,—
MSTuring10M,SuCo,1.0016,—,1.0012,—,—,—
MSTuring10M,SHG,1.0021,—,1.0011,—,1.0002,—
MSTuring10M,CSPG,1.0021,—,1.0011,—,—,—
MSTuring10M,HNSW32,1.0027,—,1.001,—,—,—
MSTuring10M,HNSW48,1.0022,—,1.0011,—,1.0002,—
